,Sentence,sequences,length,Emotion
9033,cannot describe happy feel emotional may year old patient said recovery room,"['cannot', 'describe', 'happy', 'feel', 'emotional', 'may', 'year', 'old', 'patient', 'said', 'recovery', 'room']",12,sadness
9034,feeling little homesick colorado,"['feeling', 'little', 'homesick', 'colorado']",4,sadness
9035,feeling like running empty fearful ill get usual progression sinus infection walking pneumonia pounding,"['feeling', 'like', 'running', 'empty', 'fearful', 'ill', 'get', 'usual', 'progression', 'sinus', 'infection', 'walking', 'pneumonia', 'pounding']",14,sadness
9036,hope next quote able let special someone know feeling insecure understand matter much trust,"['hope', 'next', 'quote', 'able', 'let', 'special', 'someone', 'know', 'feeling', 'insecure', 'understand', 'matter', 'much', 'trust']",14,fear
9040,feel slowly fearful place inside enjoying time hope enjoy starting actually swim around bit rather walk water,"['feel', 'slowly', 'fearful', 'place', 'inside', 'enjoying', 'time', 'hope', 'enjoy', 'starting', 'actually', 'swim', 'around', 'bit', 'rather', 'walk', 'water']",17,fear
9043,get feel exhausted crawl back upstairs find sleep another hour week try make sure workout day,"['get', 'feel', 'exhausted', 'crawl', 'back', 'upstairs', 'find', 'sleep', 'another', 'hour', 'week', 'try', 'make', 'sure', 'workout', 'day']",16,sadness
9044,somehow feel though dare slow walk place catch breath billy blank jump screen yell face fierceness,"['somehow', 'feel', 'though', 'dare', 'slow', 'walk', 'place', 'catch', 'breath', 'billy', 'blank', 'jump', 'screen', 'yell', 'face', 'fierceness']",16,fear
9047,feeling melancholy sad depressed even angry second year without daughter day ago chosen family,"['feeling', 'melancholy', 'sad', 'depressed', 'even', 'angry', 'second', 'year', 'without', 'daughter', 'day', 'ago', 'chosen', 'family']",14,sadness
9048,feeling lonely work,"['feeling', 'lonely', 'work']",3,sadness
9049,use data comparatively determine whether feeling disappointed elated inspired,"['use', 'data', 'comparatively', 'determine', 'whether', 'feeling', 'disappointed', 'elated', 'inspired']",9,sadness
9051,ill admit he pretty good designer feel like he totally fake,"['ill', 'admit', 'he', 'pretty', 'good', 'designer', 'feel', 'like', 'he', 'totally', 'fake']",11,sadness
9054,feeling uncertain insecure fearful,"['feeling', 'uncertain', 'insecure', 'fearful']",4,fear
9056,remember mum cry holding door tried break feeling,"['remember', 'mum', 'cry', 'holding', 'door', 'tried', 'break', 'feeling']",8,fear
9057,feel like people whatever,"['feel', 'like', 'people', 'whatever']",4,anger
9058,feel like angry someone die whiskey beer farm,"['feel', 'like', 'angry', 'someone', 'die', 'whiskey', 'beer', 'farm']",8,anger
9059,tired feeling like helpless victim stuck circumstance slowly making change,"['tired', 'feeling', 'like', 'helpless', 'victim', 'stuck', 'circumstance', 'slowly', 'making', 'change']",10,fear
9060,feel envious time possible feel way,"['feel', 'envious', 'time', 'possible', 'feel', 'way']",6,anger
9061,feeling angry think strop ruffling air position exaggerating issue,"['feeling', 'angry', 'think', 'strop', 'ruffling', 'air', 'position', 'exaggerating', 'issue']",9,anger
9063,feel blood pound back ear throw hurt point blank period hurt,"['feel', 'blood', 'pound', 'back', 'ear', 'throw', 'hurt', 'point', 'blank', 'period', 'hurt']",11,sadness
9064,feeling young adult genre quite badly written novel one spirit heart,"['feeling', 'young', 'adult', 'genre', 'quite', 'badly', 'written', 'novel', 'one', 'spirit', 'heart']",11,sadness
9071,able look face without feeling awkward,"['able', 'look', 'face', 'without', 'feeling', 'awkward']",6,sadness
9074,always feel terrible afterwards even helpless yet another thing depression,"['always', 'feel', 'terrible', 'afterwards', 'even', 'helpless', 'yet', 'another', 'thing', 'depression']",10,sadness
9076,feeling irritable cranky often,"['feeling', 'irritable', 'cranky', 'often']",4,anger
9077,today feel homesick lonely useless part me saying go home get job sod degree,"['today', 'feel', 'homesick', 'lonely', 'useless', 'part', 'me', 'saying', 'go', 'home', 'get', 'job', 'sod', 'degree']",14,sadness
9078,didnt want feel rushed baptism doesnt need perfect knowledge order,"['didnt', 'want', 'feel', 'rushed', 'baptism', 'doesnt', 'need', 'perfect', 'knowledge', 'order']",10,fear
9079,also feel pain along character also feel depressive pain suffer endure,"['also', 'feel', 'pain', 'along', 'character', 'also', 'feel', 'depressive', 'pain', 'suffer', 'endure']",11,sadness
9080,feel jumpy like ate bottle caffeine pill,"['feel', 'jumpy', 'like', 'ate', 'bottle', 'caffeine', 'pill']",7,fear
9082,wasnt sure could concerned people around feeling incredibly apprehensive turning back may well dancing cliff face,"['wasnt', 'sure', 'could', 'concerned', 'people', 'around', 'feeling', 'incredibly', 'apprehensive', 'turning', 'back', 'may', 'well', 'dancing', 'cliff', 'face']",16,fear
9084,could help feel jealous,"['could', 'help', 'feel', 'jealous']",4,anger
9085,feeling little skeptical today,"['feeling', 'little', 'skeptical', 'today']",4,fear
9086,cant believe feeling afraid disdain hatred instead actual nothingness laced small dash repulsion,"['cant', 'believe', 'feeling', 'afraid', 'disdain', 'hatred', 'instead', 'actual', 'nothingness', 'laced', 'small', 'dash', 'repulsion']",13,fear
9087,awoke hour feeling groggy,"['awoke', 'hour', 'feeling', 'groggy']",4,sadness
9088,made feel like pathetic piece suffer mental illness multiple actually,"['made', 'feel', 'like', 'pathetic', 'piece', 'suffer', 'mental', 'illness', 'multiple', 'actually']",10,sadness
9090,still feel like somehow one family member horribly wronged tragic event today,"['still', 'feel', 'like', 'somehow', 'one', 'family', 'member', 'horribly', 'wronged', 'tragic', 'event', 'today']",12,anger
9091,feel today today count friend,"['feel', 'today', 'today', 'count', 'friend']",5,anger
9095,cannot deny right feeling,"['cannot', 'deny', 'right', 'feeling']",4,sadness
9097,feel weird game much feel weird praising,"['feel', 'weird', 'game', 'much', 'feel', 'weird', 'praising']",7,fear
9099,sound really predictable usual absolutely time first lover rang one day found another woman never saw hurt positive true love,"['sound', 'really', 'predictable', 'usual', 'absolutely', 'time', 'first', 'lover', 'rang', 'one', 'day', 'found', 'another', 'woman', 'never', 'saw', 'hurt', 'positive', 'true', 'love']",20,sadness
9100,feel hopeless serious need encouragement,"['feel', 'hopeless', 'serious', 'need', 'encouragement']",5,sadness
9101,feel disappointed impatient guitar player,"['feel', 'disappointed', 'impatient', 'guitar', 'player']",5,sadness
9104,feel anybody got angry awkward silence,"['feel', 'anybody', 'got', 'angry', 'awkward', 'silence']",6,anger
9106,want please feel resentful get exhausted feel time painful warmed properly,"['want', 'please', 'feel', 'resentful', 'get', 'exhausted', 'feel', 'time', 'painful', 'warmed', 'properly']",11,anger
9108,feel mad connection body decided kick side,"['feel', 'mad', 'connection', 'body', 'decided', 'kick', 'side']",7,anger
9110,stopped feeling looking wod guess mean learning find right balance scale push harder,"['stopped', 'feeling', 'looking', 'wod', 'guess', 'mean', 'learning', 'find', 'right', 'balance', 'scale', 'push', 'harder']",13,fear
9112,wont wont allow feeling rushed like race better one,"['wont', 'wont', 'allow', 'feeling', 'rushed', 'like', 'race', 'better', 'one']",9,anger
9113,read watching film make sense author feel offended change truth made film used attempt effect real life verdict,"['read', 'watching', 'film', 'make', 'sense', 'author', 'feel', 'offended', 'change', 'truth', 'made', 'film', 'used', 'attempt', 'effect', 'real', 'life', 'verdict']",18,anger
9115,know feel job even long year get really tired ganging get,"['know', 'feel', 'job', 'even', 'long', 'year', 'get', 'really', 'tired', 'ganging', 'get']",11,fear
9116,trying friend wouldnt feel,"['trying', 'friend', 'wouldnt', 'feel']",4,sadness
9118,also pretty close window feel like make look freakishly neurotic,"['also', 'pretty', 'close', 'window', 'feel', 'like', 'make', 'look', 'freakishly', 'neurotic']",10,fear
9119,feeling think dumb rather,"['feeling', 'think', 'dumb', 'rather']",4,sadness
9120,alone biology building dark,"['alone', 'biology', 'building', 'dark']",4,fear
9126,feeling little vision therapy lately,"['feeling', 'little', 'vision', 'therapy', 'lately']",5,sadness
9127,feel gift card thought rude,"['feel', 'gift', 'card', 'thought', 'rude']",5,anger
9128,word scripture feel god showing ugly heart,"['word', 'scripture', 'feel', 'god', 'showing', 'ugly', 'heart']",7,sadness
9130,feel pretty tortured work job often inspiration strike work,"['feel', 'pretty', 'tortured', 'work', 'job', 'often', 'inspiration', 'strike', 'work']",9,anger
9131,feeling rather bitter rather multitude subject let talk main one,"['feeling', 'rather', 'bitter', 'rather', 'multitude', 'subject', 'let', 'talk', 'main', 'one']",10,anger
9134,hurt went found someone cast mind back time still make feel ashamed,"['hurt', 'went', 'found', 'someone', 'cast', 'mind', 'back', 'time', 'still', 'make', 'feel', 'ashamed']",12,sadness
9135,feel ungrateful,"['feel', 'ungrateful']",2,sadness
9136,aunt doctor partially counsel without mostly feeling doctor would skeptical,"['aunt', 'doctor', 'partially', 'counsel', 'without', 'mostly', 'feeling', 'doctor', 'would', 'skeptical']",10,fear
9138,feel nervous dont feel super confident trophy,"['feel', 'nervous', 'dont', 'feel', 'super', 'confident', 'trophy']",7,fear
9140,go let tell feel unhappy,"['go', 'let', 'tell', 'feel', 'unhappy']",5,sadness
9141,feeling kind lonely right even though jack lot friend,"['feeling', 'kind', 'lonely', 'right', 'even', 'though', 'jack', 'lot', 'friend']",9,sadness
9145,conveniently uninformed specific situation left feeling helpless wanting ever get away,"['conveniently', 'uninformed', 'specific', 'situation', 'left', 'feeling', 'helpless', 'wanting', 'ever', 'get', 'away']",11,fear
9146,guess like star looking inch rubber dong feeling bit hesitant whole thing,"['guess', 'like', 'star', 'looking', 'inch', 'rubber', 'dong', 'feeling', 'bit', 'hesitant', 'whole', 'thing']",12,fear
9147,feel like trick keeping tag team crimson amazing red alive,"['feel', 'like', 'trick', 'keeping', 'tag', 'team', 'crimson', 'amazing', 'red', 'alive']",10,sadness
9149,admit feel skeptical making change wonder natural sweetener better body refined sugar sugar end,"['admit', 'feel', 'skeptical', 'making', 'change', 'wonder', 'natural', 'sweetener', 'better', 'body', 'refined', 'sugar', 'sugar', 'end']",14,fear
9151,personally happy grateful embracing moment feel patriotism,"['personally', 'happy', 'grateful', 'embracing', 'moment', 'feel', 'patriotism']",7,sadness
9153,finally fell asleep feeling angry useless still full anxiety,"['finally', 'fell', 'asleep', 'feeling', 'angry', 'useless', 'still', 'full', 'anxiety']",9,anger
9155,expect rep make ache really especially often lift rep say feel muscle aching already,"['expect', 'rep', 'make', 'ache', 'really', 'especially', 'often', 'lift', 'rep', 'say', 'feel', 'muscle', 'aching', 'already']",14,sadness
9160,feel fearful vulnerable within relationship see trustworthy turn trust,"['feel', 'fearful', 'vulnerable', 'within', 'relationship', 'see', 'trustworthy', 'turn', 'trust']",9,fear
9161,thankful though thing bit overwhelming sent people life help feel neurotic,"['thankful', 'though', 'thing', 'bit', 'overwhelming', 'sent', 'people', 'life', 'help', 'feel', 'neurotic']",11,fear
9162,upgrade character engage battle similar setting transformation raising energy flashy color chaotic explosion feeling desperation adversary beaten,"['upgrade', 'character', 'engage', 'battle', 'similar', 'setting', 'transformation', 'raising', 'energy', 'flashy', 'color', 'chaotic', 'explosion', 'feeling', 'desperation', 'adversary', 'beaten']",17,sadness
9165,feel hopeless,"['feel', 'hopeless']",2,sadness
9166,mean raised feel compassion love feeling tortured beaten young age thats sith work,"['mean', 'raised', 'feel', 'compassion', 'love', 'feeling', 'tortured', 'beaten', 'young', 'age', 'thats', 'sith', 'work']",13,anger
9167,almost feel attempt describe,"['almost', 'feel', 'attempt', 'describe']",4,fear
9168,made take mind feeling rotten,"['made', 'take', 'mind', 'feeling', 'rotten']",5,sadness
9169,feel shaken far far age group targeted,"['feel', 'shaken', 'far', 'far', 'age', 'group', 'targeted']",7,fear
9172,trying keep voice reasonably free feeling believe beaten,"['trying', 'keep', 'voice', 'reasonably', 'free', 'feeling', 'believe', 'beaten']",8,sadness
9173,general feeling unpleasant heaviness stomach,"['general', 'feeling', 'unpleasant', 'heaviness', 'stomach']",5,sadness
9174,feel pretty immature ready,"['feel', 'pretty', 'immature', 'ready']",4,fear
9175,feel bit rotten,"['feel', 'bit', 'rotten']",3,sadness
9177,faced feeling wont work vain,"['faced', 'feeling', 'wont', 'work', 'vain']",5,sadness
9178,feeling wonder dangerous place could settled mentality bring possibility,"['feeling', 'wonder', 'dangerous', 'place', 'could', 'settled', 'mentality', 'bring', 'possibility']",9,anger
9179,feel ashamed perfectly fine,"['feel', 'ashamed', 'perfectly', 'fine']",4,sadness
9180,almost feel,"['almost', 'feel']",2,fear
9182,remind passion opinion feel incredibly ball energy channel travel,"['remind', 'passion', 'opinion', 'feel', 'incredibly', 'ball', 'energy', 'channel', 'travel']",9,fear
9183,feel need,"['feel', 'need']",2,sadness
9185,want push think term discipline pro goal pro choice immediately default feeling,"['want', 'push', 'think', 'term', 'discipline', 'pro', 'goal', 'pro', 'choice', 'immediately', 'default', 'feeling']",12,sadness
9186,feel like time trying help friend see lousy guy yes might best friend never let go good,"['feel', 'like', 'time', 'trying', 'help', 'friend', 'see', 'lousy', 'guy', 'yes', 'might', 'best', 'friend', 'never', 'let', 'go', 'good']",17,sadness
9190,feeling going alone conversion,"['feeling', 'going', 'alone', 'conversion']",4,sadness
9192,feel absolutely guilty crazy time pregnant suppose get rounder,"['feel', 'absolutely', 'guilty', 'crazy', 'time', 'pregnant', 'suppose', 'get', 'rounder']",9,sadness
9194,creative muse feel low lack word height prompt confession,"['creative', 'muse', 'feel', 'low', 'lack', 'word', 'height', 'prompt', 'confession']",9,sadness
9195,feeling petty right,"['feeling', 'petty', 'right']",3,anger
9197,feel weepy lot,"['feel', 'weepy', 'lot']",3,sadness
9200,stray feel pain loneliness discontent,"['stray', 'feel', 'pain', 'loneliness', 'discontent']",5,sadness
9201,feeling rebellious need something relieve turmoil body,"['feeling', 'rebellious', 'need', 'something', 'relieve', 'turmoil', 'body']",7,anger
9203,forgot take morning predictably feeling irritable predictably sitting day thinking kill bitch dont get hand chocolate cupcake,"['forgot', 'take', 'morning', 'predictably', 'feeling', 'irritable', 'predictably', 'sitting', 'day', 'thinking', 'kill', 'bitch', 'dont', 'get', 'hand', 'chocolate', 'cupcake']",17,anger
9204,feel suspicious see redundant use credential,"['feel', 'suspicious', 'see', 'redundant', 'use', 'credential']",6,fear
9206,hope two feel vain,"['hope', 'two', 'feel', 'vain']",4,sadness
9208,feel like town thing need day suspicious bag,"['feel', 'like', 'town', 'thing', 'need', 'day', 'suspicious', 'bag']",8,fear
9210,even got mad god little feel like,"['even', 'got', 'mad', 'god', 'little', 'feel', 'like']",7,sadness
9212,going say know activity balance start feeling something supposed fun,"['going', 'say', 'know', 'activity', 'balance', 'start', 'feeling', 'something', 'supposed', 'fun']",10,sadness
9213,feel ugly lately,"['feel', 'ugly', 'lately']",3,sadness
9215,going lie sometimes hearing say thing recording make feel weird insecure like quote state good thing,"['going', 'lie', 'sometimes', 'hearing', 'say', 'thing', 'recording', 'make', 'feel', 'weird', 'insecure', 'like', 'quote', 'state', 'good', 'thing']",16,fear
9216,remember feeling lonely child room even though lot toy keep,"['remember', 'feeling', 'lonely', 'child', 'room', 'even', 'though', 'lot', 'toy', 'keep']",10,sadness
9218,feel place tragic,"['feel', 'place', 'tragic']",3,sadness
9219,feel although admit used,"['feel', 'although', 'admit', 'used']",4,sadness
9222,spent rest morning feeling disappointed,"['spent', 'rest', 'morning', 'feeling', 'disappointed']",5,sadness
9225,feel come something else funny write,"['feel', 'come', 'something', 'else', 'funny', 'write']",6,fear
9226,want irreplaceable find person make feel way think id rather stay single number whats point refuse something settle maybe stubborn feel,"['want', 'irreplaceable', 'find', 'person', 'make', 'feel', 'way', 'think', 'id', 'rather', 'stay', 'single', 'number', 'whats', 'point', 'refuse', 'something', 'settle', 'maybe', 'stubborn', 'feel']",21,anger
9227,feel strongly could helping people unsure within,"['feel', 'strongly', 'could', 'helping', 'people', 'unsure', 'within']",7,fear
9228,know still feel unpleasant,"['know', 'still', 'feel', 'unpleasant']",4,sadness
9229,wish didnt feel afraid talk new people,"['wish', 'didnt', 'feel', 'afraid', 'talk', 'new', 'people']",7,fear
9230,feeling indecisive lately,"['feeling', 'indecisive', 'lately']",3,fear
9231,feel bit helpless good term step plate get ready,"['feel', 'bit', 'helpless', 'good', 'term', 'step', 'plate', 'get', 'ready']",9,sadness
9232,feel broke inside wont admit cause miss hard say come,"['feel', 'broke', 'inside', 'wont', 'admit', 'cause', 'miss', 'hard', 'say', 'come']",10,sadness
9233,ride still feeling little apprehensive decided title lunge en,"['ride', 'still', 'feeling', 'little', 'apprehensive', 'decided', 'title', 'lunge', 'en']",9,fear
9237,sick feeling lonely dumb unloved forgotten,"['sick', 'feeling', 'lonely', 'dumb', 'unloved', 'forgotten']",6,anger
9239,confess feeling nervous made way event venue,"['confess', 'feeling', 'nervous', 'made', 'way', 'event', 'venue']",7,fear
9240,think sleeping good since feeling sleep summer,"['think', 'sleeping', 'good', 'since', 'feeling', 'sleep', 'summer']",7,sadness
9242,hope didnt get feeling didnt want make feel bad,"['hope', 'didnt', 'get', 'feeling', 'didnt', 'want', 'make', 'feel', 'bad']",9,sadness
9243,feel market somewhat dangerous position trader end wrong side right,"['feel', 'market', 'somewhat', 'dangerous', 'position', 'trader', 'end', 'wrong', 'side', 'right']",10,anger
9244,think worse feel shoe would least far concerned sort blue,"['think', 'worse', 'feel', 'shoe', 'would', 'least', 'far', 'concerned', 'sort', 'blue']",10,sadness
9248,going help feel regretful buy ice cream next time see,"['going', 'help', 'feel', 'regretful', 'buy', 'ice', 'cream', 'next', 'time', 'see']",10,sadness
9250,felt like talking know say cause real damage least cousin feel alone anyway tell could take battalion necessary,"['felt', 'like', 'talking', 'know', 'say', 'cause', 'real', 'damage', 'least', 'cousin', 'feel', 'alone', 'anyway', 'tell', 'could', 'take', 'battalion', 'necessary']",18,sadness
9251,comment feel award said feel embarrassed right,"['comment', 'feel', 'award', 'said', 'feel', 'embarrassed', 'right']",7,sadness
9252,feel like gone broke,"['feel', 'like', 'gone', 'broke']",4,sadness
9253,woke feeling listless weekend included strip club tackle football hour binge drinking hockey game decided go work,"['woke', 'feeling', 'listless', 'weekend', 'included', 'strip', 'club', 'tackle', 'football', 'hour', 'binge', 'drinking', 'hockey', 'game', 'decided', 'go', 'work']",17,sadness
9255,left feeling angry thinking center stupid joke,"['left', 'feeling', 'angry', 'thinking', 'center', 'stupid', 'joke']",7,anger
9257,guess feel ugly sort way,"['guess', 'feel', 'ugly', 'sort', 'way']",5,sadness
9259,feeling little lonely feel lonely sick,"['feeling', 'little', 'lonely', 'feel', 'lonely', 'sick']",6,sadness
9264,know let people decide happiness damn feel like either risk happiness please people much hate school school pathetic deserve time money,"['know', 'let', 'people', 'decide', 'happiness', 'damn', 'feel', 'like', 'either', 'risk', 'happiness', 'please', 'people', 'much', 'hate', 'school', 'school', 'pathetic', 'deserve', 'time', 'money']",21,sadness
9265,slow bit stay partly feeling like start win give partly afraid push kill trying stay,"['slow', 'bit', 'stay', 'partly', 'feeling', 'like', 'start', 'win', 'give', 'partly', 'afraid', 'push', 'kill', 'trying', 'stay']",15,fear
9267,feel earth move tribute king karaoke mix rel target blank,"['feel', 'earth', 'move', 'tribute', 'king', 'karaoke', 'mix', 'rel', 'target', 'blank']",10,sadness
9272,lie bed leg constant motion feel control shaken something,"['lie', 'bed', 'leg', 'constant', 'motion', 'feel', 'control', 'shaken', 'something']",9,fear
9273,feel though shaken still flying air,"['feel', 'though', 'shaken', 'still', 'flying', 'air']",6,fear
9274,energy feel remember feeling kind bad timing everything,"['energy', 'feel', 'remember', 'feeling', 'kind', 'bad', 'timing', 'everything']",8,anger
9275,year old must admit made feel uncomfortable,"['year', 'old', 'must', 'admit', 'made', 'feel', 'uncomfortable']",7,fear
9276,remember feeling homesick,"['remember', 'feeling', 'homesick']",3,sadness
9277,feeling low,"['feeling', 'low']",2,sadness
9278,feel like miserable happy,"['feel', 'like', 'miserable', 'happy']",4,sadness
9279,feeling bit neurotic ill lose job,"['feeling', 'bit', 'neurotic', 'ill', 'lose', 'job']",6,fear
9280,feel submissive place work environment,"['feel', 'submissive', 'place', 'work', 'environment']",5,sadness
9281,feel bit nothing like woman bloody hate incessant general bloody nothing time,"['feel', 'bit', 'nothing', 'like', 'woman', 'bloody', 'hate', 'incessant', 'general', 'bloody', 'nothing', 'time']",12,anger
9283,feeling angry feeling self conscious short wishing wasnt alone,"['feeling', 'angry', 'feeling', 'self', 'conscious', 'short', 'wishing', 'wasnt', 'alone']",9,anger
9284,feel love men,"['feel', 'love', 'men']",3,sadness
9285,feel like discontent work load,"['feel', 'like', 'discontent', 'work', 'load']",5,sadness
9286,feeling really spiteful lately think ill sit listen,"['feeling', 'really', 'spiteful', 'lately', 'think', 'ill', 'sit', 'listen']",8,anger
9287,feel like soda shaken turbulently flew violently container moment felt air freedom,"['feel', 'like', 'soda', 'shaken', 'turbulently', 'flew', 'violently', 'container', 'moment', 'felt', 'air', 'freedom']",12,fear
9288,feel hostile thought taking credit card,"['feel', 'hostile', 'thought', 'taking', 'credit', 'card']",6,anger
9289,feel insecure lack confidence,"['feel', 'insecure', 'lack', 'confidence']",4,fear
9291,feel bitter see become,"['feel', 'bitter', 'see', 'become']",4,anger
9294,aware one traumatic memory surfacing leaving feeling nausea gently always,"['aware', 'one', 'traumatic', 'memory', 'surfacing', 'leaving', 'feeling', 'nausea', 'gently', 'always']",10,fear
9295,feeling disgusted ashamed,"['feeling', 'disgusted', 'ashamed']",3,anger
9299,feel like calling vet could spend day every day visiting god precious magnificent creature,"['feel', 'like', 'calling', 'vet', 'could', 'spend', 'day', 'every', 'day', 'visiting', 'god', 'precious', 'magnificent', 'creature']",14,sadness
9303,feel like havent shaken lately,"['feel', 'like', 'havent', 'shaken', 'lately']",5,fear
9305,feel like put bag shaken otherwise,"['feel', 'like', 'put', 'bag', 'shaken', 'otherwise']",6,fear
9306,feeling know one year old sent old country year parent work,"['feeling', 'know', 'one', 'year', 'old', 'sent', 'old', 'country', 'year', 'parent', 'work']",11,fear
9307,tired feeling dumb,"['tired', 'feeling', 'dumb']",3,sadness
9308,really fan feel quite sorry people kill live clam prawn shark fin,"['really', 'fan', 'feel', 'quite', 'sorry', 'people', 'kill', 'live', 'clam', 'prawn', 'shark', 'fin']",12,sadness
9311,feel like deserve way search way self harm non lethal overdose,"['feel', 'like', 'deserve', 'way', 'search', 'way', 'self', 'harm', 'non', 'lethal', 'overdose']",11,sadness
9313,taking nap day havent really feeling sleep day cut caffeine intake third used since coming back,"['taking', 'nap', 'day', 'havent', 'really', 'feeling', 'sleep', 'day', 'cut', 'caffeine', 'intake', 'third', 'used', 'since', 'coming', 'back']",16,sadness
9314,feel like mollusk repeatedly beaten wet cloth time back sake,"['feel', 'like', 'mollusk', 'repeatedly', 'beaten', 'wet', 'cloth', 'time', 'back', 'sake']",10,sadness
9316,feel foolish,"['feel', 'foolish']",2,sadness
9317,feel dumb going,"['feel', 'dumb', 'going']",3,sadness
9318,feel see feel darkness everywhere,"['feel', 'see', 'feel', 'darkness', 'everywhere']",5,fear
9320,feel messy,"['feel', 'messy']",2,sadness
9322,think unconsciously subconsciously feel like vile vile,"['think', 'unconsciously', 'subconsciously', 'feel', 'like', 'vile', 'vile']",7,anger
9324,close eye recite following mantra every day whenever feeling unsure shiftless progress towards top body,"['close', 'eye', 'recite', 'following', 'mantra', 'every', 'day', 'whenever', 'feeling', 'unsure', 'shiftless', 'progress', 'towards', 'top', 'body']",15,fear
9325,say still feel completely rotten constantly exhausted,"['say', 'still', 'feel', 'completely', 'rotten', 'constantly', 'exhausted']",7,sadness
9331,try speak stand simply try insert conversation feel selfish like attention whore,"['try', 'speak', 'stand', 'simply', 'try', 'insert', 'conversation', 'feel', 'selfish', 'like', 'attention', 'whore']",12,anger
9333,could walk slow pace browse booth long dart shop main street without feeling rushed,"['could', 'walk', 'slow', 'pace', 'browse', 'booth', 'long', 'dart', 'shop', 'main', 'street', 'without', 'feeling', 'rushed']",14,anger
9334,feel hopeless usually want scream,"['feel', 'hopeless', 'usually', 'want', 'scream']",5,sadness
9339,combination frozen food art many snap making feel miserable life still stuck office,"['combination', 'frozen', 'food', 'art', 'many', 'snap', 'making', 'feel', 'miserable', 'life', 'still', 'stuck', 'office']",13,sadness
9342,feel highly,"['feel', 'highly']",2,sadness
9345,feel jealous know go woman,"['feel', 'jealous', 'know', 'go', 'woman']",5,anger
9346,however feel bit envious people different perfume different season,"['however', 'feel', 'bit', 'envious', 'people', 'different', 'perfume', 'different', 'season']",9,anger
9348,end feeling unwelcome go spare bedroom used coat closet take saving entire time,"['end', 'feeling', 'unwelcome', 'go', 'spare', 'bedroom', 'used', 'coat', 'closet', 'take', 'saving', 'entire', 'time']",13,sadness
9349,ask know thing everything change feel bit shaky try keep leading edge huge amount change allow come alignment catch,"['ask', 'know', 'thing', 'everything', 'change', 'feel', 'bit', 'shaky', 'try', 'keep', 'leading', 'edge', 'huge', 'amount', 'change', 'allow', 'come', 'alignment', 'catch']",19,fear
9350,feel awful missing school,"['feel', 'awful', 'missing', 'school']",4,sadness
9352,feeling suspicious computer,"['feeling', 'suspicious', 'computer']",3,fear
9354,response,['response'],1,anger
9355,would one screaming yelling handed bill paying responsibility family feel peace idiotic long distance call seem accrue every month,"['would', 'one', 'screaming', 'yelling', 'handed', 'bill', 'paying', 'responsibility', 'family', 'feel', 'peace', 'idiotic', 'long', 'distance', 'call', 'seem', 'accrue', 'every', 'month']",19,sadness
9359,sat feeling helpless like moment episode walking dead,"['sat', 'feeling', 'helpless', 'like', 'moment', 'episode', 'walking', 'dead']",8,fear
9360,dont know feel frantic really want particular song little girl,"['dont', 'know', 'feel', 'frantic', 'really', 'want', 'particular', 'song', 'little', 'girl']",10,fear
9361,feel disturbed thanks psychopath useless fake story,"['feel', 'disturbed', 'thanks', 'psychopath', 'useless', 'fake', 'story']",7,sadness
9363,feel movie say fact name mean,"['feel', 'movie', 'say', 'fact', 'name', 'mean']",6,sadness
9364,remember getting car body feeling really lame,"['remember', 'getting', 'car', 'body', 'feeling', 'really', 'lame']",7,sadness
9367,feel like every day grow become needy someone fill role,"['feel', 'like', 'every', 'day', 'grow', 'become', 'needy', 'someone', 'fill', 'role']",10,sadness
9369,ended eating lot day feel eat bunch last day,"['ended', 'eating', 'lot', 'day', 'feel', 'eat', 'bunch', 'last', 'day']",9,fear
9370,feel ending bit rushed wonder might certain sign small thing story dont notice time passing,"['feel', 'ending', 'bit', 'rushed', 'wonder', 'might', 'certain', 'sign', 'small', 'thing', 'story', 'dont', 'notice', 'time', 'passing']",15,anger
9372,wasnt self conscious atrocious singing think id break whenever colleague feeling,"['wasnt', 'self', 'conscious', 'atrocious', 'singing', 'think', 'id', 'break', 'whenever', 'colleague', 'feeling']",11,sadness
9373,ill feel uncomfortable although always people friend around calling one honey babe angel darling peach pickle,"['ill', 'feel', 'uncomfortable', 'although', 'always', 'people', 'friend', 'around', 'calling', 'one', 'honey', 'babe', 'angel', 'darling', 'peach', 'pickle']",16,fear
9375,listen song feel sorrowful atmosphere,"['listen', 'song', 'feel', 'sorrowful', 'atmosphere']",5,sadness
9377,feel offended used disgusted,"['feel', 'offended', 'used', 'disgusted']",4,anger
9378,actively seeking god heart feel lethargic directionless slow come see god even think god see,"['actively', 'seeking', 'god', 'heart', 'feel', 'lethargic', 'directionless', 'slow', 'come', 'see', 'god', 'even', 'think', 'god', 'see']",15,sadness
9383,feeling little shaky day small bike,"['feeling', 'little', 'shaky', 'day', 'small', 'bike']",6,fear
9384,feel back vicious cycle start every time open door every time show back back hint love afraid,"['feel', 'back', 'vicious', 'cycle', 'start', 'every', 'time', 'open', 'door', 'every', 'time', 'show', 'back', 'back', 'hint', 'love', 'afraid']",17,anger
9385,want able get without feeling weird bathing suit,"['want', 'able', 'get', 'without', 'feeling', 'weird', 'bathing', 'suit']",8,fear
9386,feel like weird limbo childhood adulthood,"['feel', 'like', 'weird', 'limbo', 'childhood', 'adulthood']",6,fear
